"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.3756554527779","126.716768527454","249.73585630583","416.370948663355","552.398251050961","732.118695901989","1131.2737406532","947.257092932359","1120.21155470672","1364.43138009029","1556.3557331909","1643.45403899721","1621.47050601062","1397.18141935003",
"Africa Eastern and Southern","AFE","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.63429054506073","8.7735075413265","15.3592836806148","18.606954362224","23.9942254036264","28.9117563043033","92.92243075627","875.511830561814","1138.51590865041","1291.53303631963","1277.71759392126","1436.91352640515","1332.87713276783","1307.52708656635",
"Afghanistan","AFG","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.494977936181717","0.545187378857661","1.24345411395812","1.45465106336258","1.7382011137112","2.18729357416894","12.2764405423167","44.1873650754779","53.4795175761047","27.6573503133086","34.861417801576","39.1245970166507","36.7432860701151","43.758544404586",
"Africa Western and Central","AFW","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.580520854921453","0.827416971921586","1.48246594672845","1.88926026645711","2.52093378129327","3.28846790866081","28.5245423404254","105.483790292382","86.2650309681498","42.0380951639791","44.0778570211543","41.0498828475198","36.7359689487775","37.7994765117027",
"Angola","AGO","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.28783968113089","1.85809505122396","3.17745355218256","4.54795261874169","5.89084940857161","8.06170993910817","8.22394628118289","10.6499657563912","11.023366181367","14.4862036978923","19.7302740008918","26.1782917153033","36.5370826553838","40.2177899448233",
"Albania","ALB","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.11943477235488","8.26106337096133","25.5137134485887","35.5774531517479","52.2653390116797","68.3860849244091","144.640261242564","443.020375805171","526.099855706299","767.292728482432","884.825091116546","988.026316070259","1107.39539235674","1220.33290943972",
"Andorra","AND","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","718.657844522093","1015.6460923338","1197.38657365229","1050.6157406176","1179.86899385654","2189.1539889711","3034.03942865851","3565.47320472324","5321.83816290147","20359.8608677459","9705.35021969501","11280.6901128069","13725.6131986701","14618.5811813595",
"Arab World","ARB","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.06488129140461","8.80515133821609","16.2847994057961","19.9179299944793","25.9050393216909","35.2665254004955","53.6673472145233","122.201864817127","131.661136290377","147.519145611604","146.344719186843","193.304366992152","188.328441526339","220.1103280078",
"United Arab Emirates","ARE","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114.267614461942","158.20873925933","293.176654966659","329.25903977249","419.632133249953","638.900479786748","983.425470014588","1321.88036180403","1529.09566701663","1977.81338448843","1478.66650469874","2580.22013645319","1626.60420961755","2119.66117852284",
"Argentina","ARG","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.8978570259452","33.6443276957518","62.6871943865859","73.19916148564","89.1826345303307","122.294512787585","729.835343087417","1619.6159696379","1865.86541646219","3016.15630461206","3700.83487186273","5116.36127962748","5287.33940240888","5451.20150353984",
